column,role,dtype,non_null,missing,missing_percent,unique_values,example_values
age,numeric_predictor,float64,920,0,0.0,50,"63.0, 67.0, 37.0, 41.0, 56.0, 62.0, 57.0, 53.0"
sex,binary_categorical_predictor,float64,920,0,0.0,2,"1.0, 0.0"
cp,ordinal_categorical_predictor,float64,920,0,0.0,4,"1.0, 4.0, 3.0, 2.0"
trestbps,numeric_predictor,float64,861,59,6.41,61,"145.0, 160.0, 120.0, 130.0, 140.0, 172.0, 150.0, 110.0"
chol,numeric_predictor,float64,890,30,3.26,217,"233.0, 286.0, 229.0, 250.0, 204.0, 236.0, 268.0, 354.0"
fbs,binary_categorical_predictor,float64,830,90,9.78,2,"1.0, 0.0"
restecg,categorical_predictor,float64,918,2,0.22,3,"2.0, 0.0, 1.0"
thalach,numeric_predictor,float64,865,55,5.98,119,"150.0, 108.0, 129.0, 187.0, 172.0, 178.0, 160.0, 163.0"
exang,binary_categorical_predictor,float64,865,55,5.98,2,"0.0, 1.0"
oldpeak,numeric_predictor,float64,858,62,6.74,53,"2.3, 1.5, 2.6, 3.5, 1.4, 0.8, 3.6, 0.6"
slope,ordinal_categorical_predictor,float64,611,309,33.59,3,"3.0, 2.0, 1.0"
ca,ordinal_categorical_predictor,float64,309,611,66.41,4,"0.0, 3.0, 2.0, 1.0"
thal,categorical_predictor,float64,434,486,52.83,3,"6.0, 3.0, 7.0"
num,ordinal_target,int64,920,0,0.0,5,"0, 2, 1, 3, 4"
disease_binary,binary_target_derived_from_num,Int64,920,0,0.0,2,"0, 1"
source_site,cohort_identifier,str,920,0,0.0,4,"Cleveland Clinic Foundation, Hungarian Institute of Cardiology, University Hospital Zurich Switzerland, V.A. Medical Center Long Beach"
